participant _number,file_name,test_date,response_id,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario_1,full_response,scenario_2,full_response,notes
48,20230414_03,4/14,130636,79c59970-3f4f-4840-970a-fcc30ded22a8,1826-2191,1890,female,en es,sunburn,Because she forgot her sunscreen.,flood,Because he didn't close the window and fix it.,
49,20230415_03,4/15,130792,57df56f4-6a11-46e0-9ece-1055c257566e,1826-2191,1950,female,en,sunburn,Because she stayed in the sun too long.,flood,Because the window was open.,
50,20230415_04,4/15,130799,2a2134c0-b75a-42f8-8b18-3e982bb9bc4a,1826-2191,2070,female,en so,sunburn,Because she didn't bring her sunscreen. The sunscreen helps.,flood,Because the doors were open and it was raining.,
51,20230416_04,4/16,130896,1680b257-9a22-44f4-8df4-3f68e27af001,1826-2191,1980,female,en,sunburn,Because the sunscreen wasn't on her body.,flood,Because the window was open.,
52,20230417_01,4/17,131039,09af9538-fda7-4535-86c6-804462ee9075,1826-2191,1920,male,en,sunburn,Cause she is gonna get hot. The hots. Skin hots. She is getting hot.,flood,Because there is more water in it. There is water in it.,
53,20230417_02,4/17,131094,baaa746c-5c40-4351-a838-d755093255e2,1826-2191,2040,male,en,sunburn,Cause it was too hot.,flood,Cause the window was open.,
54,20230418_01,4/18,131171,c71d56f5-8b5f-4761-af7d-2ea6f020aaf2,1826-2191,1890,male,en fr,sunburn,Because of the sun. Sun.,flood,Because the window was open.,
55,20230418_02,4/18,131194,2430ec37-5a61-4a2f-8fde-21d911bb2963,1826-2191,1950,female,en,flood,The window was open.,sunburn,she left her sunscreen.,
56,20230418_03,4/18,131212,837445fb-95b2-4fc9-925a-86a736a9af72,1826-2191,1950,female,en,flood,Because the windows were open.,sunburn,Because she forgot her sunscreen.,
57,20230419_05,4/19,131581,fcdb6e58-62c6-42b0-bbc1-7db86837598d,1826-2191,2130,male,en he,sunburn,Because of the sun. Sun.,flood,The doors were open.,
58,20230419_07,4/19,131610,96421f85-91b9-4890-bbc2-5a2dc0c459d2,1826-2191,1860,male,en,sunburn,Because she didn't bring any sunscreen.,flood,Because he left the door open without the latch.,
59,20230419_10,4/19,131648,4edc23dd-05b9-4d5d-9b32-67b6e0921f47,1826-2191,1920,female,en,flood,Cause the window was open and the rain come in.,sunburn,Cause she didn't get the sun cream.,
60,20230422_01,4/22,132029,00ffe74f-25c9-41a7-9359-b7d2aed39cb6,1826-2191,1920,female,en,sunburn,The hot sun.,flood,Because the water is going over and it got inside cause it was raining.,
61,20230403_02,4/3,128664,7a325859-939e-4ec0-905e-f74042a7759a,2191-2556,2220,male,en,sunburn,She forgot sunscreen.,flood,The window was open.,
62,20230403_03,4/3,128667,9b795886-974f-4ac9-be38-46a2dfe6119e,2191-2556,2310,male,en hi,flood,Because the window was open and it was raining.,sunburn,Because she forgot to get the sunscreen.,
63,20230404_04,4/4,128848,ae4bc248-071b-4441-b1b2-4ef044572c94,2191-2556,2520,male,en,flood,"Because the windown wasn't closed and it started raining, and it didn't have a latch on it.",sunburn,Because she didn't put sunscreen on and she forgot it at home.,
64,20230406_03,4/6,129206,71099639-0e70-4b8b-bb51-e6d0a6ddd8f0,2191-2556,2250,male,en,flood,Because the rain was raining really hard.,sunburn,Because she didn her sunscreen on and she left it.,
65,20230406_05,4/6,129232,39202429-d5bc-44e5-b5c4-084bb6f59270,2191-2556,2370,female,en,flood,Because the window was open.,sunburn,Because she forgot her sunscreen.,
66,20230406_09,4/6,129280,a9d497d0-e190-4627-8e9a-3e3d6cc1b100,2191-2556,2280,male,en,sunburn,Because she forgot to bring her sunscreen.,flood,Because he forgot to close the window.,
