participant,scenario,made_question_order,question,direct,absence,age,response_pattern
116,flood,second,lexical,1,0,5.18,different
116,flood,second,made,1,0,5.18,different
117,flood,second,lexical,1,0,5.75,different
117,flood,second,made,1,0,5.75,different
117,sunburn,first,made,1,0,5.75,different
117,sunburn,first,lexical,1,0,5.75,different
118,sunburn,first,made,0,1,5.59,different
118,sunburn,first,lexical,1,0,5.59,different
118,flood,second,lexical,1,0,5.59,different
118,flood,second,made,1,0,5.59,different
119,flood,second,lexical,1,0,5.42,different
119,sunburn,first,made,1,0,5.42,different
120,sunburn,second,lexical,1,0,5.84,different
120,sunburn,second,made,1,0,5.84,different
121,flood,second,lexical,1,0,6.66,different
121,flood,second,made,1,0,6.66,different
121,sunburn,second,lexical,1,0,6.66,different
121,sunburn,second,made,1,0,6.66,different
122,sunburn,first,made,1,0,6.74,different
122,sunburn,first,lexical,1,0,6.74,different
122,flood,first,made,1,0,6.74,different
122,flood,first,lexical,1,0,6.74,different
123,flood,second,lexical,0,1,6.08,different
123,sunburn,first,made,0,1,6.08,different
123,sunburn,first,lexical,1,0,6.08,different
124,flood,first,made,0,1,6.58,different
124,flood,first,lexical,1,0,6.58,different
124,sunburn,first,made,0,1,6.58,different
124,sunburn,first,lexical,1,0,6.58,different
125,sunburn,second,lexical,1,0,6.99,different
125,flood,first,made,1,0,6.99,different
125,flood,first,lexical,1,0,6.99,different
126,flood,first,made,1,0,6.74,different
126,flood,first,lexical,1,0,6.74,different
126,sunburn,second,lexical,1,0,6.74,different
126,sunburn,second,made,1,0,6.74,different
127,flood,first,lexical,1,0,6.33,different
127,sunburn,first,made,0,1,6.33,different
127,sunburn,first,lexical,1,0,6.33,different
128,sunburn,first,made,0,1,6.82,different
128,sunburn,first,lexical,0,1,6.82,different
128,flood,first,made,0,1,6.82,different
128,flood,first,lexical,0,1,6.82,different
129,flood,second,lexical,1,0,6.08,different
129,flood,second,made,1,0,6.08,different
129,sunburn,first,made,1,0,6.08,different
129,sunburn,first,lexical,0,1,6.08,different
130,flood,second,lexical,1,0,6.16,different
130,flood,second,made,1,0,6.16,different
130,sunburn,second,lexical,0,1,6.16,different
131,flood,second,lexical,1,0,6.25,different
131,flood,second,made,1,0,6.25,different
131,sunburn,first,made,1,0,6.25,different
131,sunburn,first,lexical,1,0,6.25,different
132,flood,second,lexical,1,0,6.9,different
132,flood,second,made,1,0,6.9,different
132,sunburn,first,made,1,0,6.9,different
132,sunburn,first,lexical,1,0,6.9,different
133,sunburn,first,made,1,0,6.74,different
133,sunburn,first,lexical,1,0,6.74,different
133,flood,first,made,1,0,6.74,different
133,flood,first,lexical,1,0,6.74,different
134,sunburn,first,made,1,0,6.82,different
134,sunburn,first,lexical,1,0,6.82,different
134,flood,first,made,0,1,6.82,different
134,flood,first,lexical,1,0,6.82,different
135,sunburn,first,made,1,0,6.08,different
135,sunburn,first,lexical,1,0,6.08,different
135,flood,second,lexical,1,0,6.08,different
135,flood,second,made,1,0,6.08,different
136,flood,first,lexical,1,0,6.66,different
136,sunburn,second,lexical,1,0,6.66,different
136,sunburn,second,made,1,0,6.66,different
137,flood,first,made,1,0,6.33,different
137,flood,first,lexical,1,0,6.33,different
137,sunburn,first,made,1,0,6.33,different
137,sunburn,first,lexical,1,0,6.33,different
138,flood,second,lexical,1,0,6.33,different
138,flood,second,made,1,0,6.33,different
138,sunburn,first,made,1,0,6.33,different
138,sunburn,first,lexical,1,0,6.33,different
139,flood,first,made,0,1,6.49,different
139,flood,first,lexical,1,0,6.49,different
139,sunburn,second,lexical,1,0,6.49,different
139,sunburn,second,made,0,1,6.49,different
140,flood,second,lexical,1,0,6.08,different
140,flood,second,made,1,0,6.08,different
140,sunburn,first,made,1,0,6.08,different
140,sunburn,first,lexical,1,0,6.08,different
141,sunburn,first,made,1,0,6.41,different
141,sunburn,first,lexical,1,0,6.41,different
141,flood,second,lexical,1,0,6.41,different
141,flood,second,made,1,0,6.41,different
142,flood,first,made,1,0,6.58,different
142,flood,first,lexical,1,0,6.58,different
142,sunburn,second,lexical,1,0,6.58,different
142,sunburn,second,made,1,0,6.58,different
143,sunburn,first,made,1,0,6.33,different
143,sunburn,first,lexical,1,0,6.33,different
143,flood,second,lexical,1,0,6.33,different
143,flood,second,made,1,0,6.33,different
144,sunburn,first,made,0,1,6.9,different
144,sunburn,first,lexical,1,0,6.9,different
144,flood,first,made,0,1,6.9,different
144,flood,first,lexical,1,0,6.9,different
145,flood,second,lexical,1,0,6.9,different
145,flood,second,made,1,0,6.9,different
145,sunburn,first,made,1,0,6.9,different
145,sunburn,first,lexical,1,0,6.9,different
146,sunburn,second,lexical,1,0,6.41,different
146,sunburn,second,made,1,0,6.41,different
146,flood,first,made,1,0,6.41,different
146,flood,first,lexical,1,0,6.41,different
147,flood,second,lexical,1,0,6.58,different
147,flood,second,made,1,0,6.58,different
147,sunburn,second,lexical,1,0,6.58,different
147,sunburn,second,made,1,0,6.58,different
148,flood,first,made,1,0,6.25,different
148,flood,first,lexical,1,0,6.25,different
148,sunburn,second,lexical,1,0,6.25,different
148,sunburn,second,made,1,0,6.25,different
149,flood,first,lexical,1,0,6.41,different
149,sunburn,first,made,1,0,6.41,different
150,flood,first,made,0,1,6.49,different
150,flood,first,lexical,0,1,6.49,different
150,sunburn,second,lexical,1,0,6.49,different
150,sunburn,second,made,1,0,6.49,different
