participant_number,response_id,date_and_time,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,counterbalance,made_question_order,question_type,full_response,response,notes
142,116042,1/14/23 15:14,8daa56b2-994d-40b2-b839-5fa1ef6eb3c3,2556-3652,3000,female,en,mirror_break,Bobby,second,crack,Sophia.,Sophia,
142,116042,1/14/23 15:14,8daa56b2-994d-40b2-b839-5fa1ef6eb3c3,2556-3652,3000,female,en,mirror_break,Bobby,second,made,Sophia.,Sophia,
142,116042,1/14/23 15:14,8daa56b2-994d-40b2-b839-5fa1ef6eb3c3,2556-3652,3000,female,en,fence_break,Suzy,second,break,Andy.,Andy,
142,116042,1/14/23 15:14,8daa56b2-994d-40b2-b839-5fa1ef6eb3c3,2556-3652,3000,female,en,fence_break,Suzy,second,made,Andy did.,Andy,
143,116065,1/14/23 23:30,6eefdfc0-5a73-47c0-8657-d209c9327a33,2556-3652,3210,male,en ml,fence_break,Andy,second,break,Suzy.,Suzy,
143,116065,1/14/23 23:30,6eefdfc0-5a73-47c0-8657-d209c9327a33,2556-3652,3210,male,en ml,fence_break,Andy,second,made,Andy.,Andy,
143,116065,1/14/23 23:30,6eefdfc0-5a73-47c0-8657-d209c9327a33,2556-3652,3210,male,en ml,mirror_crack,Sophia,second,crack,Bobby.,Bobby,
143,116065,1/14/23 23:30,6eefdfc0-5a73-47c0-8657-d209c9327a33,2556-3652,3210,male,en ml,mirror_crack,Sophia,second,made,Sophia.,Sophia,
144,116119,1/15/23 11:30,b302c4e3-94ba-44b5-9ca4-9efe4f0fabc1,2556-3652,3240,male,en so,fence_break,Andy,second,break,Suzy.,Suzy,
144,116119,1/15/23 11:30,b302c4e3-94ba-44b5-9ca4-9efe4f0fabc1,2556-3652,3240,male,en so,fence_break,Andy,second,made,Suzy.,Suzy,
144,116119,1/15/23 11:30,b302c4e3-94ba-44b5-9ca4-9efe4f0fabc1,2556-3652,3240,male,en so,mirror_crack,Sophia,first,made,Bobby.,Bobby,
144,116119,1/15/23 11:30,b302c4e3-94ba-44b5-9ca4-9efe4f0fabc1,2556-3652,3240,male,en so,mirror_crack,Sophia,first,crack,Bobby.,Bobby,
145,116141,1/15/23 20:29,127986c5-d663-4a84-afc2-6c51078ff7f4,2556-3652,3150,male,en,fence_break,Andy,second,break,"""Andy.""",Andy,
145,116141,1/15/23 20:29,127986c5-d663-4a84-afc2-6c51078ff7f4,2556-3652,3150,male,en,fence_break,Andy,second,made,"""Suzy.""",Suzy,
145,116141,1/15/23 20:29,127986c5-d663-4a84-afc2-6c51078ff7f4,2556-3652,3150,male,en,mirror_crack,Sophia,first,made,"""Sophia.""",Sophia,
145,116141,1/15/23 20:29,127986c5-d663-4a84-afc2-6c51078ff7f4,2556-3652,3150,male,en,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
146,116169,1/16/23 10:26,09669402-f63f-4583-9ded-35d6cedbfe99,2556-3652,2760,male,en,fence_break,Suzy,first,made,Suzy.,Suzy,
146,116169,1/16/23 10:26,09669402-f63f-4583-9ded-35d6cedbfe99,2556-3652,2760,male,en,fence_break,Suzy,first,break,Suzy.,Suzy,
146,116169,1/16/23 10:26,09669402-f63f-4583-9ded-35d6cedbfe99,2556-3652,2760,male,en,mirror_crack,Bobby,second,crack,Sophia.,Sophia,
146,116169,1/16/23 10:26,09669402-f63f-4583-9ded-35d6cedbfe99,2556-3652,2760,male,en,mirror_crack,Bobby,second,made,Bobby.,Bobby,
147,116537,1/18/23 6:37,248418be-4ed2-485c-aba6-a5d1961c1cb4,2556-3652,2700,female,en de,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
147,116537,1/18/23 6:37,248418be-4ed2-485c-aba6-a5d1961c1cb4,2556-3652,2700,female,en de,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
147,116537,1/18/23 6:37,248418be-4ed2-485c-aba6-a5d1961c1cb4,2556-3652,2700,female,en de,fence_break,Andy,first,made,"""Suzy.""",Suzy,
147,116537,1/18/23 6:37,248418be-4ed2-485c-aba6-a5d1961c1cb4,2556-3652,2700,female,en de,fence_break,Andy,first,break,"""Suzy.""",Suzy,Child said ugh i got it wrong again before answering this question?
148,116538,1/18/23 6:53,c4aba792-0b9f-4f7b-8710-d71cfc9b7394,2556-3652,3540,male,en de,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
148,116538,1/18/23 6:53,c4aba792-0b9f-4f7b-8710-d71cfc9b7394,2556-3652,3540,male,en de,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
148,116538,1/18/23 6:53,c4aba792-0b9f-4f7b-8710-d71cfc9b7394,2556-3652,3540,male,en de,fence_break,Suzy,first,made,"""Suzy?""",Suzy,responded in a questionlike form
148,116538,1/18/23 6:53,c4aba792-0b9f-4f7b-8710-d71cfc9b7394,2556-3652,3540,male,en de,fence_break,Suzy,first,break,"""Andy?""",Andy,responded in a questionlike form
149,116707,1/18/23 19:32,"	54109aa4-b468-40d0-a00d-30922917e98a",2556-3652,2610,male,en fr,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
149,116707,1/18/23 19:32,"	54109aa4-b468-40d0-a00d-30922917e98a",2556-3652,2610,male,en fr,mirror_crack,Bobby,second,made,"""Bobby""",Bobby,
149,116707,1/18/23 19:32,"	54109aa4-b468-40d0-a00d-30922917e98a",2556-3652,2610,male,en fr,fence_break,Suzy,second,crack,"""Andy.""",Andy,
149,116707,1/18/23 19:32,"	54109aa4-b468-40d0-a00d-30922917e98a",2556-3652,2610,male,en fr,fence_break,Suzy,second,made,"""Suzy.""",Suzy,
150,116708,1/18/23 19:46,2dacf8fa-1a4a-45a2-b7d8-9a035459742f,2556-3653,3300,male,en fr,fence_break,Andy,second,break,"""Suzy.""",Suzy,
150,116708,1/18/23 19:46,2dacf8fa-1a4a-45a2-b7d8-9a035459742f,2556-3654,3300,male,en fr,fence_break,Andy,second,made,"""Andy made the fence break.""",Andy,
150,116708,1/18/23 19:46,2dacf8fa-1a4a-45a2-b7d8-9a035459742f,2556-3655,3300,male,en fr,mirror_crack,Sophia,first,made,"""Sophia made the mirror crack.""",Sophia,
150,116708,1/18/23 19:46,2dacf8fa-1a4a-45a2-b7d8-9a035459742f,2556-3656,3300,male,en fr,mirror_crack,Sophia,first,crack,"""Bobby cracked the mirror""",Bobby,
