participant_number,response_id,date_and_time,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,counterbalance,made_question_order,question_type,full_response,response,notes
53,117115,1/21/23 13:18,5f48a8f8-c20b-4cac-89a5-802b83cf75be,1826-2191,2190,female,en,mirror_crack,Sophia,second,made,Bobby.,Bobby,
54,117382,1/23/23 17:24,e6ed5eab-1dbd-4856-b641-4ecbf93fedbb,1826-2191,2190,female,en,mirror_crack,Sophia,first,made,I think Sophia.,Sophia,
54,117382,1/23/23 17:24,e6ed5eab-1dbd-4856-b641-4ecbf93fedbb,1826-2191,2190,female,en,mirror_crack,Sophia,first,crack,Sophia.,Sophia,
54,117382,1/23/23 17:24,e6ed5eab-1dbd-4856-b641-4ecbf93fedbb,1826-2191,2190,female,en,fence_break,Andy,first,made,Andy.,Andy,
54,117382,1/23/23 17:24,e6ed5eab-1dbd-4856-b641-4ecbf93fedbb,1826-2191,2190,female,en,fence_break,Andy,first,break,Andy.,Andy,
55,117451,1/24/23 10:44,381c3edb-62f3-4b56-9c4f-0b46e4b5b019,1826-2191,2070,male,en,fence_break,Andy,first,made,Suzy.,Suzy,
55,117451,1/24/23 10:44,381c3edb-62f3-4b56-9c4f-0b46e4b5b019,1826-2191,2070,male,en,fence_break,Andy,first,break,Suzy.,Suzy,
55,117451,1/24/23 10:44,381c3edb-62f3-4b56-9c4f-0b46e4b5b019,1826-2191,2070,male,en,mirror_crack,Sophia,first,made,Bobby.,Bobby,
55,117451,1/24/23 10:44,381c3edb-62f3-4b56-9c4f-0b46e4b5b019,1826-2191,2070,male,en,mirror_crack,Sophia,first,crack,Bobby.,Bobby,
56,117616,1/25/23 12:36,7093f631-b621-4269-a21b-f11ff5ed80bb,1826-2191,1830,male,en,fence_break,Andy,first,made,"""Suzy.""",Suzy,"parent asked Andy or Suzy, and repeated question"
56,117616,1/25/23 12:36,7093f631-b621-4269-a21b-f11ff5ed80bb,1826-2191,1830,male,en,fence_break,Andy,first,break,"""Suzy.""",Suzy,
56,117616,1/25/23 12:36,7093f631-b621-4269-a21b-f11ff5ed80bb,1826-2191,1830,male,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
56,117616,1/25/23 12:36,7093f631-b621-4269-a21b-f11ff5ed80bb,1826-2191,1830,male,en,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
57,117652,1/25/23 16:09,14ee3d81-1dd7-4d4a-9502-714ebd4e7aa8,1826-2191,1830,female,en so,fence_break,Andy,second,break,Andy.,Andy,
57,117652,1/25/23 16:09,14ee3d81-1dd7-4d4a-9502-714ebd4e7aa8,1826-2191,1830,female,en so,fence_break,Andy,second,made,Andy.,Andy,
57,117652,1/25/23 16:09,14ee3d81-1dd7-4d4a-9502-714ebd4e7aa8,1826-2191,1830,female,en so,mirror_crack,Sophia,first,made,Bobby.,Bobby,
57,117652,1/25/23 16:09,14ee3d81-1dd7-4d4a-9502-714ebd4e7aa8,1826-2191,1830,female,en so,mirror_crack,Sophia,first,crack,Bobby.,Bobby,
58,118146,1/28/23 16:52,cf08d5b4-f1da-4c1d-b859-8461eea0133b,1826-2191,1920,female,en,fence_break,Suzy,second,break,"""Andy.""",Andy,
58,118146,1/28/23 16:52,cf08d5b4-f1da-4c1d-b859-8461eea0133b,1826-2191,1920,female,en,fence_break,Suzy,second,made,"""Andy.""",Andy,
58,118146,1/28/23 16:52,cf08d5b4-f1da-4c1d-b859-8461eea0133b,1826-2191,1920,female,en,mirror_crack,Bobby,second,crack,"""Bobby.""",Bobby,
58,118146,1/28/23 16:52,cf08d5b4-f1da-4c1d-b859-8461eea0133b,1826-2191,1920,female,en,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,
59,118153,1/28/23 18:19,133ba9da-6c56-48bb-8961-dffdb89574e7,1826-2191,2040,female,en ml so,fence_break,Suzy,first,made,"""Suzy.""",Suzy,
59,118153,1/28/23 18:19,133ba9da-6c56-48bb-8961-dffdb89574e7,1826-2191,2040,female,en ml so,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
59,118153,1/28/23 18:19,133ba9da-6c56-48bb-8961-dffdb89574e7,1826-2191,2040,female,en ml so,mirror_crack,Bobby,second,crack,"""Bobby.""",Bobby,
59,118153,1/28/23 18:19,133ba9da-6c56-48bb-8961-dffdb89574e7,1826-2191,2040,female,en ml so,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
60,117847,1/26/23 19:15,6270df8f-bdf5-4734-8cef-35fd146e9703,1826-2191,1860,male,en ml so,fence_break,Suzy,first,made,Andy.,Andy,
60,117847,1/26/23 19:15,6270df8f-bdf5-4734-8cef-35fd146e9703,1826-2191,1860,male,en ml so ,fence_break,Suzy,first,break,Andy.,Andy,
60,117847,1/26/23 19:15,6270df8f-bdf5-4734-8cef-35fd146e9703,1826-2191,1860,male,en ml so,mirror_crack,Bobby,second,crack,Sophia.,Sophia,
60,117847,1/26/23 19:15,6270df8f-bdf5-4734-8cef-35fd146e9703,1826-2191,1860,male,en ml so,mirror_crack,Bobby,second,made,Sophia.,Sophia,
61,112224,12/6/22 14:37,6097c55f-ac5d-4334-b870-9f50397a7c27,2191-2556,2430,female,,mirror_crack,Sophia,first,made,"""Bobby.""",Bobby,
61,112224,12/6/22 14:37,6097c55f-ac5d-4334-b870-9f50397a7c27,2191-2556,2430,female,,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
61,112224,12/6/22 14:37,6097c55f-ac5d-4334-b870-9f50397a7c27,2191-2556,2430,female,,fence_break,Andy,first,made,The boy. Because he ran into Suzy.,Andy,
61,112224,12/6/22 14:37,6097c55f-ac5d-4334-b870-9f50397a7c27,2191-2556,2430,female,,fence_break,Andy,first,break,"""Andy.""",Andy,
62,112709,12/10/22 13:05,0ed3cefa-b985-4541-9648-9ed567687f2f,2191-2556,2430,female,en ro ,fence_break,Suzy,second,break,"""Andy.""",Andy,
62,112709,12/10/22 13:05,0ed3cefa-b985-4541-9648-9ed567687f2f,2191-2556,2430,female,en ro ,fence_break,Suzy,second,made,"""Suzy.""",Suzy,
62,112709,12/10/22 13:05,0ed3cefa-b985-4541-9648-9ed567687f2f,2191-2556,2430,female,en ro ,mirror_crack,Bobby,first,made,"""Bobby.""",Bobby,
62,112709,12/10/22 13:05,0ed3cefa-b985-4541-9648-9ed567687f2f,2191-2556,2430,female,en ro ,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
63,112818,12/11/22 13:50,4531290f-5d88-4222-bb6f-8008a6e6a1cc,2191-2556,2340,male,en,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
63,112818,12/11/22 13:50,4531290f-5d88-4222-bb6f-8008a6e6a1cc,2191-2556,2340,male,en,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,
63,112818,12/11/22 13:50,4531290f-5d88-4222-bb6f-8008a6e6a1cc,2191-2556,2340,male,en,fence_break,Suzy,first,made,"""Andy.""",Andy,
63,112818,12/11/22 13:50,4531290f-5d88-4222-bb6f-8008a6e6a1cc,2191-2556,2340,male,en,fence_break,Suzy,first,break,"""Andy.""",Andy,
64,112995,12/12/22 18:41,cd335889-0f97-4e69-b96f-be8ef7890b3a,2191-2556,2400,male,en,fence_break,Suzy,first,made,"""Suzy.""",Suzy,"parent asked Andy or Suzy. Then child asked who's Andy and parent said Andy is the boy, Suzy is the girl."
64,112995,12/12/22 18:41,cd335889-0f97-4e69-b96f-be8ef7890b3a,2191-2556,2400,male,en,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
64,112995,12/12/22 18:41,cd335889-0f97-4e69-b96f-be8ef7890b3a,2191-2556,2400,male,en,mirror_crack,Bobby,first,made,"""Bobby.""",Bobby,"parent asked Bobby or Sophia, then child asked who's Bobby and who's Sophia. parent reminded that Bobby is the boy and Sophia is the girl"
64,112995,12/12/22 18:41,cd335889-0f97-4e69-b96f-be8ef7890b3a,2191-2556,2400,male,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,parent reminded them that Bobby is the boy and Sophia is the girl
65,113042,12/13/22 5:08,37a8c38d-f5bc-44b4-947c-5dd3193aa752,2191-2556,2340,male,en it,fence_break,Andy,first,made,"""Andy.""",Andy,parent repeated the question 
65,113042,12/13/22 5:08,37a8c38d-f5bc-44b4-947c-5dd3193aa752,2191-2556,2340,male,en it,fence_break,Andy,first,break,"""Andy.""",Andy,
65,113042,12/13/22 5:08,37a8c38d-f5bc-44b4-947c-5dd3193aa752,2191-2556,2340,male,en it,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
65,113042,12/13/22 5:08,37a8c38d-f5bc-44b4-947c-5dd3193aa752,2191-2556,2340,male,en it,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
66,113057,12/13/22 9:42,1c730e2c-35fe-4c7a-9406-da9b128529d9,2191-2556,2550,male,en,fence_break,Suzy,second,break,"""Suzy.""",Suzy,
66,113057,12/13/22 9:42,1c730e2c-35fe-4c7a-9406-da9b128529d9,2191-2556,2550,male,en,fence_break,Suzy,second,made,"""Andy.""",Andy,
66,113057,12/13/22 9:42,1c730e2c-35fe-4c7a-9406-da9b128529d9,2191-2556,2550,male,en,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
66,113057,12/13/22 9:42,1c730e2c-35fe-4c7a-9406-da9b128529d9,2191-2556,2550,male,en,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,
67,113086,12/13/22 12:00,dd66901e-12ba-4f51-86e4-80520818f64c,2191-2556,2310,female,en,fence_break,Andy,first,made,"""Andy.""",Andy,
67,113086,12/13/22 12:00,dd66901e-12ba-4f51-86e4-80520818f64c,2191-2556,2310,female,en,fence_break,Andy,first,break,"""Andy.""",Andy,
67,113086,12/13/22 12:00,dd66901e-12ba-4f51-86e4-80520818f64c,2191-2556,2310,female,en,mirror_crack,Sophia,second,crack,"""Bobby cracked the mirror.""",Bobby,
67,113086,12/13/22 12:00,dd66901e-12ba-4f51-86e4-80520818f64c,2191-2556,2310,female,en,mirror_crack,Sophia,second,made,"""Bobby made the mirror crack""",Bobby,
68,113164,12/13/22 17:43,2a852696-7567-48e3-99c8-aa2b0667cee8,2191-2556,2460,female,en,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
68,113164,12/13/22 17:43,2a852696-7567-48e3-99c8-aa2b0667cee8,2191-2556,2460,female,en,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,
68,113164,12/13/22 17:43,2a852696-7567-48e3-99c8-aa2b0667cee8,2191-2556,2460,female,en,fence_break,Suzy,second,break,"""The boy?""",Andy,
68,113164,12/13/22 17:43,2a852696-7567-48e3-99c8-aa2b0667cee8,2191-2556,2460,female,en,fence_break,Suzy,second,made,"""Suzy.""",Suzy,
69,113847,12/16/22 17:15,508885d0-2404-49ef-b4f6-faf9d0f71887,2191-2556,2280,female,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
69,113847,12/16/22 17:15,508885d0-2404-49ef-b4f6-faf9d0f71887,2191-2556,2280,female,en,mirror_crack,Sophia,second,made,"""Sophia.""",Sophia,
69,113847,12/16/22 17:15,508885d0-2404-49ef-b4f6-faf9d0f71887,2191-2556,2280,female,en,fence_break,Andy,second,break,"""Andy.""",Andy,
69,113847,12/16/22 17:15,508885d0-2404-49ef-b4f6-faf9d0f71887,2191-2556,2280,female,en,fence_break,Andy,second,made,"""Suzy.""",Suzy,
70,113941,12/17/22 18:10,f7e7cda0-2845-4ae8-a04c-15d0e2e57600,2191-2556,2430,female,,fence_break,Andy,first,made,"""Suzy.""",Suzy,
70,113941,12/17/22 18:10,f7e7cda0-2845-4ae8-a04c-15d0e2e57600,2191-2556,2430,female,,fence_break,Andy,first,break,"""Suzy.""",Suzy,
70,113941,12/17/22 18:10,f7e7cda0-2845-4ae8-a04c-15d0e2e57600,2191-2556,2430,female,,mirror_crack,Sophia,first,made,"""Bobby.""",Bobby,
70,113941,12/17/22 18:10,f7e7cda0-2845-4ae8-a04c-15d0e2e57600,2191-2556,2430,female,,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
71,113972,12/18/22 12:49,0c067998-a330-4735-a1b7-56227179941b,2191-2556,2220,male,en ro,mirror_crack,Bobby,second,crack,"""Sophia"".",Sophia,
71,113972,12/18/22 12:49,0c067998-a330-4735-a1b7-56227179941b,2191-2556,2220,male,en ro,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,
71,113972,12/18/22 12:49,0c067998-a330-4735-a1b7-56227179941b,2191-2556,2220,male,en ro,fence_break,Suzy,second,break,"""Andy.""",Andy,
71,113972,12/18/22 12:49,0c067998-a330-4735-a1b7-56227179941b,2191-2556,2220,male,en ro,fence_break,Suzy,second,made,"""Suzy.""",Suzy,
72,113987,12/18/22 16:06,ac76cb61-dbf4-4089-9211-1e2ae03c9e1a,2191-2556,2250,female,en,fence_break,Suzy,first,made,"""Andy.""",Andy,
72,113987,12/18/22 16:06,ac76cb61-dbf4-4089-9211-1e2ae03c9e1a,2191-2556,2250,female,en,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
72,113987,12/18/22 16:06,ac76cb61-dbf4-4089-9211-1e2ae03c9e1a,2191-2556,2250,female,en,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
72,113987,12/18/22 16:06,ac76cb61-dbf4-4089-9211-1e2ae03c9e1a,2191-2556,2250,female,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
73,113991,12/18/22 16:27,03553a9f-049a-41ad-89e4-2aafa1edd6c8,2191-2556,2430,female,,fence_break,Suzy,first,made,"""Suzy.""",Suzy,"parent asked child ""Andy or Suzy?"""
73,113991,12/18/22 16:27,03553a9f-049a-41ad-89e4-2aafa1edd6c8,2191-2556,2430,female,,fence_break,Suzy,first,break,"""Andy.""",Andy,
73,113991,12/18/22 16:27,03553a9f-049a-41ad-89e4-2aafa1edd6c8,2191-2556,2430,female,,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,"parent asked child ""Bobby or Sophia?"""
73,113991,12/18/22 16:27,03553a9f-049a-41ad-89e4-2aafa1edd6c8,2191-2556,2430,female,,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,"parent asked child ""Bobby or Sophia?"""
74,114359,12/22/22 21:46,2f404f08-47c7-4f7d-98e3-86423ede51a7,2191-2556,2280,male,en so,fence_break,Andy,first,made,Andy.,Andy,
74,114359,12/22/22 21:46,2f404f08-47c7-4f7d-98e3-86423ede51a7,2191-2556,2280,male,en so,fence_break,Andy,first,break,Andy.,Andy,
74,114359,12/22/22 21:46,2f404f08-47c7-4f7d-98e3-86423ede51a7,2191-2556,2280,male,en so,mirror_crack,Sophia,first,made,Bobby.,Bobby,
74,114359,12/22/22 21:46,2f404f08-47c7-4f7d-98e3-86423ede51a7,2191-2556,2280,male,en so,mirror_crack,Sophia,first,crack,Bobby.,Bobby,
75,114433,12/24/22 13:13,bc46d31c-4e3c-4d78-a62d-1844433e05c0,2191-2556,2250,male,en,fence_break,Andy,second,break,"""Andy.""",Andy,
75,114433,12/24/22 13:13,bc46d31c-4e3c-4d78-a62d-1844433e05c0,2191-2556,2250,male,en,fence_break,Andy,second,made,"""Suzy.""",Suzy,
75,114433,12/24/22 13:13,bc46d31c-4e3c-4d78-a62d-1844433e05c0,2191-2556,2250,male,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
75,114433,12/24/22 13:13,bc46d31c-4e3c-4d78-a62d-1844433e05c0,2191-2556,2250,male,en,mirror_crack,Sophia,second,made,"""Sophia.""",Sophia,
76,116044,1/14/23 16:19,8022386c-7fcd-4bdd-8697-0c2e5a58ef37,2191-2556,2430,female,en id so su,fence_break,Suzy,first,made,"""Suzy.""",Suzy,
76,116044,1/14/23 16:19,8022386c-7fcd-4bdd-8697-0c2e5a58ef37,2191-2556,2430,female,en id so su,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
76,116044,1/14/23 16:19,8022386c-7fcd-4bdd-8697-0c2e5a58ef37,2191-2556,2430,female,en id so su,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
76,116044,1/14/23 16:19,8022386c-7fcd-4bdd-8697-0c2e5a58ef37,2191-2556,2430,female,en id so su,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
77,116181,1/16/23 12:00,f33c22a5-5711-42e2-b3cf-a372e3547f67,2191-2556,2460,female,en,mirror_crack,Sophia,first,made,"""Bobby""",Bobby,
77,116181,1/16/23 12:00,f33c22a5-5711-42e2-b3cf-a372e3547f67,2191-2556,2460,female,en,mirror_crack,Sophia,first,crack,"""Bobby""",Bobby,
77,116181,1/16/23 12:00,f33c22a5-5711-42e2-b3cf-a372e3547f67,2191-2556,2460,female,en,fence_break,Andy,first,made,"""Andy.""",Andy,
77,116181,1/16/23 12:00,f33c22a5-5711-42e2-b3cf-a372e3547f67,2191-2556,2460,female,en,fence_break,Andy,first,break,"""Sophia""",Sophia,
78,116213,1/16/23 13:53,01b11480-d7b5-4fca-bccf-13890790a702,2191-2556,2430,female,en km,fence_break,Andy,first,made,Andy.,Andy,
78,116213,1/16/23 13:53,01b11480-d7b5-4fca-bccf-13890790a702,2191-2556,2430,female,en km,fence_break,Andy,first,break,Suzy.,Suzy,
78,116213,1/16/23 13:53,01b11480-d7b5-4fca-bccf-13890790a702,2191-2556,2430,female,en km,mirror_crack,Sophia,first,made,Sophia.,Sophia,
78,116213,1/16/23 13:53,01b11480-d7b5-4fca-bccf-13890790a702,2191-2556,2430,female,en km,mirror_crack,Sophia,first,crack,Bobby.,Bobby,
79,116452,1/17/23 18:22,86f3d027-b4e6-4409-bb2a-dc1e4b49ab71,2191-2556,2520,female,en,mirror_crack,Bobby,first,made,Sophia.,Sophia,
79,116452,1/17/23 18:22,86f3d027-b4e6-4409-bb2a-dc1e4b49ab71,2191-2556,2520,female,en,mirror_crack,Bobby,first,crack,Sophia.,Sophia,
79,116452,1/17/23 18:22,86f3d027-b4e6-4409-bb2a-dc1e4b49ab71,2191-2556,2520,female,en,fence_break,Suzy,first,made,Andy.,Andy,
79,116452,1/17/23 18:22,86f3d027-b4e6-4409-bb2a-dc1e4b49ab71,2191-2556,2520,female,en,fence_break,Suzy,first,break,Andy.,Andy,
80,116646,1/18/23 15:03,249ab0e9-067f-4cd5-b28b-1c6177a3c9f9,2191-2556,2370,female,en,fence_break,Andy,second,break,"""Suzy.""",Suzy,
80,116646,1/18/23 15:03,249ab0e9-067f-4cd5-b28b-1c6177a3c9f9,2191-2556,2370,female,en,fence_break,Andy,second,made,"""Andy.""",Andy,child seemed hesitant and parent asked this time is it Andy or Suzy
80,116646,1/18/23 15:03,249ab0e9-067f-4cd5-b28b-1c6177a3c9f9,2191-2556,2370,female,en,mirror_crack,Sophia,first,made,"""Bobby""",Bobby,child pointed and parent reminded them the names are Bobby and Sophia
80,116646,1/18/23 15:03,249ab0e9-067f-4cd5-b28b-1c6177a3c9f9,2191-2556,2370,female,en,mirror_crack,Sophia,first,crack,"""Sophia""",Sophia,
81,117196,1/22/23 12:39,"22eef8fd-f73b-44b6-afcd-b7265e242ea4
",2191-2556,2250,female,en so,mirror_crack,Sophia,second,crack,"""Sophia""",Sophia,"parent asked child if it was him or her, and asked Bobby? didn't she scare him? but child shook her head and pointed to Sophia"
81,117196,1/22/23 12:39,"22eef8fd-f73b-44b6-afcd-b7265e242ea4
",2191-2556,2250,female,en so,mirror_crack,Sophia,second,made,"""Sophia""",Sophia,parent repeated question
81,117196,1/22/23 12:39,"22eef8fd-f73b-44b6-afcd-b7265e242ea4
",2191-2556,2250,female,en so,fence_break,Andy,first,made,"""Andy.""",Andy,parent asked she or him 
81,117196,1/22/23 12:39,"22eef8fd-f73b-44b6-afcd-b7265e242ea4
",2191-2556,2250,female,en so,fence_break,Andy,first,break,"""the boy...""",Andy,"parent asked she or him, the boy or girl"
82,117245,1/22/23 20:04,ad01e206-9635-41fc-a9f3-3e29533aa4a6,2191-2556,2250,male,en ms,fence_break,Andy,second,break,Suzy.,Suzy,
82,117245,1/22/23 20:04,"ad01e206-9635-41fc-a9f3-3e29533aa4a6
",2191-2556,2250,male,en ms,fence_break,Andy,second,made,Andy.,Andy,
82,117245,1/22/23 20:04,ad01e206-9635-41fc-a9f3-3e29533aa4a6,2191-2556,2250,male,en ms,mirror_crack,Sophia,second,crack,Bobby.,Bobby,
82,117245,1/22/23 20:04,ad01e206-9635-41fc-a9f3-3e29533aa4a6,2191-2556,2250,male,en ms,mirror_crack,Sophia,second,made,Sophia.,Sophia,
83,117320,1/23/23 14:08,843c4eb2-92ad-4586-bc89-2a38047b9a7a,2191-2556,2340,male,en,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
83,117320,1/23/23 14:08,843c4eb2-92ad-4586-bc89-2a38047b9a7a,2191-2556,2340,male,en,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
83,117320,1/23/23 14:08,843c4eb2-92ad-4586-bc89-2a38047b9a7a,2191-2556,2340,male,en,fence_break,Suzy,first,made,"""Andy.""",Andy ,parent asked was it Andy or Suzy
83,117320,1/23/23 14:08,843c4eb2-92ad-4586-bc89-2a38047b9a7a,2191-2556,2340,male,en,fence_break,Suzy,first,break,"""Andy.""",Andy ,
84,117328,1/23/23 14:59,4a1d4021-7d23-4b47-8e93-e89731192565,2191-2556,2250,male,,mirror_crack,Bobby,second,crack,Sophia.,Sophia,
84,117328,1/23/23 14:59,4a1d4021-7d23-4b47-8e93-e89731192565,2191-2556,2250,male,,mirror_crack,Bobby,second,made,Bobby.,Bobby,
84,117328,1/23/23 14:59,4a1d4021-7d23-4b47-8e93-e89731192565,2191-2556,2250,male,,fence_break,Suzy,first,made,Sophia.,Suzy,
84,117328,1/23/23 14:59,4a1d4021-7d23-4b47-8e93-e89731192565,2191-2556,2250,male,,fence_break,Suzy,first,break,Andy.,Andy,
85,117543,1/24/23 20:02,06a886af-64f6-4674-92a6-bf1c02257238,2191-2556,2310,female,en,fence_break,Suzy,first,made,Andy.,Andy,
85,117543,1/24/23 20:02,06a886af-64f6-4674-92a6-bf1c02257238,2191-2556,2310,female,en,fence_break,Suzy,first,break,Andy.,Andy,
85,117543,1/24/23 20:02,06a886af-64f6-4674-92a6-bf1c02257238,2191-2556,2310,female,en,mirror_crack,Bobby,first,made,Sophia.,Sophia,
85,117543,1/24/23 20:02,06a886af-64f6-4674-92a6-bf1c02257238,2191-2556,2310,female,en,mirror_crack,Bobby,first,crack,Sophia.,Sophia,
86,117591,1/25/23 10:40,fd13515d-3da6-40f9-a7b8-924e0a10fdfd,2191-2556,2340,male,,mirror_crack,Bobby,second,crack,Sophia.,Sophia,
86,117591,1/25/23 10:40,fd13515d-3da6-40f9-a7b8-924e0a10fdfd,2191-2556,2340,male,,mirror_crack,Bobby,second,made,Sophia.,Sophia,
86,117591,1/25/23 10:40,fd13515d-3da6-40f9-a7b8-924e0a10fdfd,2191-2556,2340,male,,fence_break,Suzy,second,break,Andy.,Andy,
86,117591,1/25/23 10:40,fd13515d-3da6-40f9-a7b8-924e0a10fdfd,2191-2556,2340,male,,fence_break,Suzy,second,made,Andy.,Andy,
87,117600,1/25/23 11:24,e7dd638c-8902-48a6-b67f-d13e93404ee0,2191-2556,2490,male,en,fence_break,Suzy,second,break,Andy.,Andy,
87,117600,1/25/23 11:24,e7dd638c-8902-48a6-b67f-d13e93404ee0,2191-2556,2490,male,en,fence_break,Suzy,second,made,Andy.,Andy,
87,117600,1/25/23 11:24,e7dd638c-8902-48a6-b67f-d13e93404ee0,2191-2556,2490,male,en,mirror_crack,Bobby,second,crack,Sophia.,Sophia,
87,117600,1/25/23 11:24,e7dd638c-8902-48a6-b67f-d13e93404ee0,2191-2556,2490,male,en,mirror_crack,Bobby,second,made,Sophia.,Sophia,
88,118036,1/27/23 16:14,c05192ae-e5da-48e9-a5c9-146d2dad609d,2191-2556,2520,female,en cmn es,fence_break,Suzy,first,made,Suzy.,Suzy,
88,118036,1/27/23 16:14,c05192ae-e5da-48e9-a5c9-146d2dad609d,2191-2556,2520,female,en cmn es,fence_break,Suzy,first,break,Andy.,Andy,
88,118036,1/27/23 16:14,c05192ae-e5da-48e9-a5c9-146d2dad609d,2191-2556,2520,female,en cmn es,mirror_crack,Bobby,first,made,Bobby.,Bobby,
88,118036,1/27/23 16:14,c05192ae-e5da-48e9-a5c9-146d2dad609d,2191-2556,2520,female,en cmn es,mirror_crack,Bobby,first,crack,Sophia.,Sophia,
89,118093,1/28/23 8:43,5cfe5eca-d88f-4a28-8abe-7a301909c286,2191-2556,2310,female,en,fence_break,Suzy,second,break,Andy.,Andy,
89,118093,1/28/23 8:43,5cfe5eca-d88f-4a28-8abe-7a301909c286,2191-2556,2310,female,en,fence_break,Suzy,second,made,Suzy,Suzy,
89,118093,1/28/23 8:43,5cfe5eca-d88f-4a28-8abe-7a301909c286,2191-2556,2310,female,en,mirror_crack,Bobby,second,crack,Sophia.,Sophia,
89,118093,1/28/23 8:43,5cfe5eca-d88f-4a28-8abe-7a301909c286,2191-2556,2310,female,en,mirror_crack,Bobby,second,made,Bobby.,Bobby,
90,118113,1/28/23 10:43,"93048116-99d2-453a-bdaf-d7fad4dc2595
",2191-2556,2430,female,en so wuu,fence_break,Andy,second,break,Andy.,Andy,
90,118113,1/28/23 10:43,"93048116-99d2-453a-bdaf-d7fad4dc2595
",2191-2556,2430,female,en so wuu,fence_break,Andy,second,made,Suzy.,Suzy,
90,118113,1/28/23 10:43,"93048116-99d2-453a-bdaf-d7fad4dc2595
",2191-2556,2430,female,en so wuu,mirror_crack,Sophia,first,made,Bobby.,Bobby,
90,118113,1/28/23 10:43,"93048116-99d2-453a-bdaf-d7fad4dc2595
",2191-2556,2430,female,en so wuu,mirror_crack,Sophia,first,crack,Sophia.,Sophia,
91,112338,12/7/22 17:02,4d60d804-81ba-4f4b-8fac-eee88cb2f2fc,2556-3652,2910,n/a,,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
91,112338,12/7/22 17:02,4d60d804-81ba-4f4b-8fac-eee88cb2f2fc,2556-3652,2910,n/a,,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
91,112338,12/7/22 17:02,4d60d804-81ba-4f4b-8fac-eee88cb2f2fc,2556-3652,2910,n/a,,fence_break,Suzy,second,break,"""Andy.""",Andy,
91,112338,12/7/22 17:02,4d60d804-81ba-4f4b-8fac-eee88cb2f2fc,2556-3652,2910,n/a,,fence_break,Suzy,second,made,"""Andy.""",Andy,
92,112348,12/7/22 18:20,7f55b703-f303-44d4-8d14-de6a7cb0f23b,2556-3652,3510,female,en,mirror_crack,Sophia,first,made,"""Sophia.""",Sophia,
92,112348,12/7/22 18:20,7f55b703-f303-44d4-8d14-de6a7cb0f23b,2556-3652,3510,female,en,mirror_crack,Sophia,first,crack,"""Sophia.""",Sophia,
92,112348,12/7/22 18:20,7f55b703-f303-44d4-8d14-de6a7cb0f23b,2556-3652,3510,female,en,fence_break,Andy,second,break,said Andy first then said Suzy when she went back to questions and parent repeated,Suzy,
92,112348,12/7/22 18:20,7f55b703-f303-44d4-8d14-de6a7cb0f23b,2556-3652,3510,female,en,fence_break,Andy,second,made,"""Andy.""",Andy,
93,112353,12/7/22 20:43,a93508cb-cd5c-4384-870c-e3b5c622e361,2556-3652,3510,female,en,fence_break,Andy,second,break,Well Andy pushed Suzy into the fence so technically Suzy.,Suzy,
93,112353,12/7/22 20:43,a93508cb-cd5c-4384-870c-e3b5c622e361,2556-3652,3510,female,en,fence_break,Andy,second,made,"""Andy.""",Andy,
93,112353,12/7/22 20:43,a93508cb-cd5c-4384-870c-e3b5c622e361,2556-3652,3510,female,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
